javascript,Javascript
java,Java
python,Python
css,Css
php,Php
ruby,Ruby
cpp,C++
c,C
shell,Shell
csharp,C#
objectivec,Objective-C
r,R
viml,VimL
go,Go
perl,Perl
coffescript,CoffeeScript
tex,TeX
swift,Swift
scala,Scala
lisp,Emacs Lisp
haskell,Haskell
lua,Lua
clojure,Clojure
matlab,Matlab
arduino,Arduino
makefile,Makefile
groovy,Groovy
puppet,Puppet
rust,Rust
powershell,PowerShell
erlang,Erlang
